PM2.5_ugm3,PM10_ugm3,CO_ppm,NO2_ppb,SO2_ppb,O3_ppb,hour,day_of_year,AQI,AQI_Category,Dominant_Pollutant
50.96,89.51,1.474,52.21,15.96,55.59,14,54,139,Unhealthy for Sensitive Groups,PM2.5
55.77,114.92,1.133,30.77,21.74,40.01,15,54,151,Unhealthy,PM2.5
57.82,89.21,1.125,26.03,18.52,38.9,16,54,152,Unhealthy,PM2.5
48.23,94.1,0.901,44.08,19.75,35.97,17,54,132,Unhealthy for Sensitive Groups,PM2.5
40.69,86.46,1.154,41.74,33.24,50.69,18,54,114,Unhealthy for Sensitive Groups,PM2.5
26.96,57.13,0.847,49.51,25.33,52.97,19,54,82,Moderate,PM2.5
26.0,74.69,1.292,38.0,27.86,33.45,20,54,80,Moderate,PM2.5
29.55,46.85,1.067,30.02,27.33,31.12,21,54,88,Moderate,PM2.5
25.18,56.82,0.867,20.11,22.7,30.52,22,54,79,Moderate,PM2.5
27.35,47.95,0.613,43.4,21.01,47.03,23,54,83,Moderate,PM2.5
28.93,66.87,0.954,37.29,24.49,66.89,0,55,90,Moderate,O3
33.13,59.54,1.059,15.95,24.09,70.09,1,55,500,Hazardous,O3
29.55,48.53,0.931,29.99,20.4,71.38,2,55,102,Unhealthy for Sensitive Groups,O3
35.94,80.37,1.427,32.96,23.9,79.0,3,55,129,Unhealthy for Sensitive Groups,O3
35.09,57.27,1.158,30.54,19.71,83.32,4,55,144,Unhealthy for Sensitive Groups,O3
21.72,22.14,1.381,44.61,22.39,80.74,5,55,135,Unhealthy for Sensitive Groups,O3
33.17,53.5,1.24,48.32,21.57,78.62,6,55,128,Unhealthy for Sensitive Groups,O3
42.69,84.26,1.496,41.2,16.9,88.77,7,55,158,Unhealthy,O3
37.11,83.49,1.141,43.19,11.49,94.22,8,55,172,Unhealthy,O3
54.11,98.73,1.317,63.47,18.55,74.44,9,55,147,Unhealthy for Sensitive Groups,PM2.5
63.5,130.11,1.617,59.72,32.27,84.45,10,55,155,Unhealthy,PM2.5
62.22,95.7,1.65,52.31,21.7,72.95,11,55,154,Unhealthy,PM2.5
51.18,86.8,1.712,35.71,27.13,85.14,12,55,500,Hazardous,O3
64.39,112.45,1.878,55.03,12.62,62.27,13,55,156,Unhealthy,PM2.5
52.44,93.02,1.084,57.37,18.2,63.28,14,55,143,Unhealthy for Sensitive Groups,PM2.5
46.61,84.91,1.162,20.94,16.47,45.24,15,55,128,Unhealthy for Sensitive Groups,PM2.5
41.88,83.67,1.449,48.52,22.23,60.98,16,55,117,Unhealthy for Sensitive Groups,PM2.5
41.42,69.22,1.076,38.94,35.36,21.78,17,55,500,Hazardous,SO2
37.58,69.3,2.213,37.79,25.55,38.78,18,55,106,Unhealthy for Sensitive Groups,PM2.5
38.89,69.45,1.262,27.82,31.72,18.25,19,55,109,Unhealthy for Sensitive Groups,PM2.5
35.86,53.44,0.997,32.52,21.97,24.91,20,55,102,Unhealthy for Sensitive Groups,PM2.5
32.08,56.37,0.791,45.43,30.07,33.08,21,55,93,Moderate,PM2.5
33.61,58.77,0.744,25.14,33.61,36.57,22,55,96,Moderate,PM2.5
38.42,67.17,0.861,38.06,22.7,41.08,23,55,108,Unhealthy for Sensitive Groups,PM2.5
36.12,65.4,0.874,19.94,20.59,46.52,0,56,103,Unhealthy for Sensitive Groups,PM2.5
17.06,31.62,0.715,36.0,16.7,45.82,1,56,61,Moderate,PM2.5
9.73,12.33,0.806,29.62,21.74,58.36,2,56,62,Moderate,O3
39.58,86.52,1.349,35.03,23.7,68.08,3,56,111,Unhealthy for Sensitive Groups,PM2.5
23.7,28.63,1.435,34.07,33.44,76.95,4,56,122,Unhealthy for Sensitive Groups,O3
35.79,55.77,1.182,43.31,16.81,80.56,5,56,134,Unhealthy for Sensitive Groups,O3
31.39,89.86,0.798,14.32,23.58,93.28,6,56,170,Unhealthy,O3
29.5,40.64,1.455,28.91,14.21,89.91,7,56,161,Unhealthy,O3
51.19,75.91,1.846,50.17,21.15,92.01,8,56,167,Unhealthy,O3
55.47,108.66,1.865,28.05,24.84,85.15,9,56,500,Hazardous,PM2.5
46.73,59.18,1.732,45.09,25.85,75.46,10,56,129,Unhealthy for Sensitive Groups,PM2.5
31.83,54.47,1.974,51.05,26.23,82.75,11,56,500,Hazardous,PM10
48.61,113.24,1.576,43.72,25.27,87.07,12,56,154,Unhealthy,O3
55.69,81.71,1.736,44.68,26.19,72.2,13,56,151,Unhealthy,PM2.5
39.51,47.33,1.308,53.11,23.51,51.83,14,56,500,Hazardous,NO2
50.86,73.56,1.542,58.58,18.05,60.38,15,56,139,Unhealthy for Sensitive Groups,PM2.5
46.74,94.91,1.779,36.42,14.03,41.65,16,56,129,Unhealthy for Sensitive Groups,PM2.5
48.55,100.89,1.116,37.36,20.55,45.93,17,56,133,Unhealthy for Sensitive Groups,PM2.5
41.71,68.92,0.942,32.69,22.61,30.33,18,56,116,Unhealthy for Sensitive Groups,PM2.5
29.8,61.84,1.136,12.68,29.56,34.56,19,56,88,Moderate,PM2.5
44.21,96.26,0.952,35.42,22.78,24.82,20,56,122,Unhealthy for Sensitive Groups,PM2.5
30.84,76.96,1.14,40.86,22.3,26.09,21,56,90,Moderate,PM2.5
29.94,50.94,0.752,39.77,25.21,18.36,22,56,89,Moderate,PM2.5
21.48,11.04,1.368,19.7,21.94,43.91,23,56,71,Moderate,PM2.5
25.03,35.2,0.453,15.48,27.38,48.7,0,57,78,Moderate,PM2.5
21.91,34.32,1.228,28.62,33.22,56.5,1,57,72,Moderate,PM2.5
28.83,48.79,0.659,37.9,34.28,62.75,2,57,86,Moderate,PM2.5
45.85,80.28,0.407,33.06,23.81,60.14,3,57,126,Unhealthy for Sensitive Groups,PM2.5
23.72,56.12,1.091,36.89,25.01,84.66,4,57,149,Unhealthy for Sensitive Groups,O3
24.74,59.83,1.03,48.31,31.22,91.14,5,57,164,Unhealthy,O3
52.59,92.6,0.867,32.61,22.57,78.1,6,57,143,Unhealthy for Sensitive Groups,PM2.5
42.31,89.35,0.789,40.91,26.72,94.3,7,57,172,Unhealthy,O3
41.59,79.15,1.377,62.35,17.65,98.75,8,57,184,Unhealthy,O3
57.8,104.81,1.747,46.52,21.77,84.28,9,57,152,Unhealthy,PM2.5
46.58,94.72,1.687,37.72,29.11,83.02,10,57,143,Unhealthy for Sensitive Groups,O3
67.25,121.93,1.565,44.9,19.73,86.55,11,57,157,Unhealthy,PM2.5
58.49,129.97,1.704,42.62,22.68,59.9,12,57,153,Unhealthy,PM2.5
48.74,70.48,1.54,55.16,15.45,56.88,13,57,134,Unhealthy for Sensitive Groups,PM2.5
68.68,117.44,1.083,41.43,33.35,50.1,14,57,158,Unhealthy,PM2.5
44.63,78.82,1.028,51.2,29.64,34.27,15,57,123,Unhealthy for Sensitive Groups,PM2.5
52.88,100.45,1.319,38.64,24.27,55.85,16,57,144,Unhealthy for Sensitive Groups,PM2.5
46.38,98.7,1.245,21.87,25.86,18.91,17,57,128,Unhealthy for Sensitive Groups,PM2.5
51.23,91.93,1.455,43.07,25.3,37.45,18,57,140,Unhealthy for Sensitive Groups,PM2.5
50.14,73.19,1.334,38.38,30.25,39.14,19,57,137,Unhealthy for Sensitive Groups,PM2.5
34.95,73.02,1.202,39.18,20.73,27.06,20,57,99,Moderate,PM2.5
26.13,56.1,0.861,24.78,26.99,24.34,21,57,81,Moderate,PM2.5
33.89,37.71,0.474,21.81,28.71,36.35,22,57,97,Moderate,PM2.5
23.57,42.38,0.976,32.42,29.4,38.81,23,57,75,Moderate,PM2.5
44.73,61.43,0.998,43.19,12.07,55.04,0,58,124,Unhealthy for Sensitive Groups,PM2.5
30.13,46.26,0.136,28.52,20.37,25.95,1,58,89,Moderate,PM2.5
27.34,38.38,0.638,33.85,18.27,50.81,2,58,83,Moderate,PM2.5
33.69,70.35,0.738,28.3,24.11,73.38,3,58,109,Unhealthy for Sensitive Groups,O3
23.97,44.56,1.056,18.56,13.28,75.5,4,58,117,Unhealthy for Sensitive Groups,O3
29.94,38.46,0.866,46.57,13.13,88.73,5,58,158,Unhealthy,O3
50.49,101.44,1.189,49.08,34.21,88.6,6,58,158,Unhealthy,O3
38.8,52.64,1.23,50.21,26.45,87.63,7,58,155,Unhealthy,O3
38.64,73.52,1.332,44.18,23.97,86.98,8,58,154,Unhealthy,O3
53.85,87.16,1.24,54.46,25.18,112.23,9,58,208,Very Unhealthy,O3
60.99,105.4,1.32,59.33,24.09,101.33,10,58,191,Unhealthy,O3
58.48,111.32,1.224,67.79,28.35,86.17,11,58,153,Unhealthy,PM2.5
61.12,116.27,1.674,61.89,20.2,75.78,12,58,154,Unhealthy,PM2.5
46.68,100.06,1.719,52.23,24.3,73.15,13,58,129,Unhealthy for Sensitive Groups,PM2.5
40.13,71.25,1.281,37.31,24.5,68.27,14,58,112,Unhealthy for Sensitive Groups,PM2.5
61.57,114.5,1.911,50.04,18.13,56.42,15,58,154,Unhealthy,PM2.5
44.44,74.73,1.286,48.57,29.75,37.49,16,58,123,Unhealthy for Sensitive Groups,PM2.5
42.05,77.88,1.752,50.2,21.13,56.63,17,58,117,Unhealthy for Sensitive Groups,PM2.5
51.51,97.99,1.007,53.54,28.45,36.48,18,58,500,Hazardous,NO2
42.16,74.71,0.499,35.94,23.94,51.16,19,58,117,Unhealthy for Sensitive Groups,PM2.5
38.4,47.47,1.141,55.01,31.53,31.87,20,58,108,Unhealthy for Sensitive Groups,PM2.5
49.53,93.13,1.02,13.92,18.16,28.57,21,58,136,Unhealthy for Sensitive Groups,PM2.5
25.11,49.58,0.899,33.8,17.94,47.86,22,58,78,Moderate,PM2.5
36.46,57.47,0.66,20.42,18.83,41.8,23,58,103,Unhealthy for Sensitive Groups,PM2.5
29.12,37.0,0.83,8.93,24.07,46.33,0,59,87,Moderate,PM2.5
31.23,73.93,0.699,26.39,31.11,40.23,1,59,91,Moderate,PM2.5
42.54,82.47,0.798,15.04,31.36,66.6,2,59,118,Unhealthy for Sensitive Groups,PM2.5
36.32,62.64,1.198,29.9,11.85,62.83,3,59,103,Unhealthy for Sensitive Groups,PM2.5
39.11,56.76,1.075,34.35,24.65,70.52,4,59,500,Hazardous,O3
46.35,73.57,1.29,48.08,7.33,76.31,5,59,128,Unhealthy for Sensitive Groups,PM2.5
38.03,84.08,1.13,24.92,27.37,90.37,6,59,162,Unhealthy,O3
37.41,69.0,1.191,52.19,28.99,73.62,7,59,110,Unhealthy for Sensitive Groups,O3
38.73,63.11,1.034,46.98,23.2,87.89,8,59,156,Unhealthy,O3
33.9,67.14,1.344,58.77,23.82,98.78,9,59,184,Unhealthy,O3
68.04,112.69,0.515,46.07,23.77,73.52,10,59,157,Unhealthy,PM2.5
43.99,97.19,1.371,38.27,19.48,82.94,11,59,143,Unhealthy for Sensitive Groups,O3
51.46,108.87,1.535,39.83,25.56,68.69,12,59,140,Unhealthy for Sensitive Groups,PM2.5
50.6,85.48,1.717,38.67,22.24,63.73,13,59,138,Unhealthy for Sensitive Groups,PM2.5
54.05,89.74,1.431,55.17,28.05,76.55,14,59,147,Unhealthy for Sensitive Groups,PM2.5
56.16,69.67,1.559,63.25,22.83,35.73,15,59,151,Unhealthy,PM2.5
53.97,79.38,0.726,40.35,19.09,52.66,16,59,146,Unhealthy for Sensitive Groups,PM2.5
39.46,54.96,1.276,49.4,15.72,34.01,17,59,500,Hazardous,PM10
39.61,72.92,0.696,24.77,14.08,28.74,18,59,111,Unhealthy for Sensitive Groups,PM2.5
40.03,68.14,0.744,38.7,29.96,19.91,19,59,112,Unhealthy for Sensitive Groups,PM2.5
32.82,42.93,0.964,40.69,21.11,37.54,20,59,95,Moderate,PM2.5
45.12,77.84,1.328,17.03,25.09,29.11,21,59,125,Unhealthy for Sensitive Groups,PM2.5
34.24,67.69,1.0,27.57,32.32,30.84,22,59,98,Moderate,PM2.5
34.96,69.27,0.858,35.57,20.59,39.89,23,59,99,Moderate,PM2.5
34.01,38.42,0.834,5.0,20.3,43.3,0,60,97,Moderate,PM2.5
38.51,67.79,0.638,41.76,22.77,32.23,1,60,108,Unhealthy for Sensitive Groups,PM2.5
31.8,40.65,0.725,33.14,23.58,55.09,2,60,92,Moderate,PM2.5
21.94,50.31,1.074,38.68,32.87,76.72,3,60,121,Unhealthy for Sensitive Groups,O3
38.06,77.91,0.604,29.87,31.26,59.93,4,60,107,Unhealthy for Sensitive Groups,PM2.5
32.62,47.93,1.285,19.67,26.54,70.31,5,60,500,Hazardous,O3
36.78,57.02,1.083,45.34,30.68,81.71,6,60,138,Unhealthy for Sensitive Groups,O3
48.89,82.46,1.541,42.28,22.54,81.72,7,60,139,Unhealthy for Sensitive Groups,O3
57.07,75.69,1.668,46.32,24.93,89.72,8,60,161,Unhealthy,O3
49.88,93.82,0.953,59.36,21.93,78.05,9,60,136,Unhealthy for Sensitive Groups,PM2.5
54.14,94.17,1.337,58.01,16.98,82.1,10,60,147,Unhealthy for Sensitive Groups,PM2.5
66.51,131.37,1.291,70.8,29.45,80.73,11,60,157,Unhealthy,PM2.5
55.24,86.25,1.016,53.54,26.09,81.49,12,60,500,Hazardous,NO2
73.71,125.25,1.238,44.68,23.53,80.21,13,60,160,Unhealthy,PM2.5
56.19,83.06,2.244,48.51,23.42,57.38,14,60,151,Unhealthy,PM2.5
35.63,52.07,1.637,52.64,15.9,71.12,15,60,101,Unhealthy for Sensitive Groups,PM2.5
53.19,81.56,1.955,56.16,18.55,43.16,16,60,145,Unhealthy for Sensitive Groups,PM2.5
47.24,96.99,1.542,28.44,25.12,47.08,17,60,130,Unhealthy for Sensitive Groups,PM2.5
51.33,84.01,0.977,40.09,20.79,53.33,18,60,140,Unhealthy for Sensitive Groups,PM2.5
43.21,79.27,0.992,52.99,22.35,32.42,19,60,120,Unhealthy for Sensitive Groups,PM2.5
33.75,56.18,1.197,31.6,22.91,16.26,20,60,97,Moderate,PM2.5
22.52,25.3,1.077,40.82,20.02,31.93,21,60,73,Moderate,PM2.5
28.68,49.61,0.715,34.54,18.6,27.9,22,60,86,Moderate,PM2.5
22.32,47.37,0.399,37.97,15.37,36.04,23,60,72,Moderate,PM2.5
24.11,28.9,1.826,19.9,22.74,64.85,0,61,83,Moderate,O3
33.88,70.69,0.81,20.35,26.56,40.01,1,61,97,Moderate,PM2.5
43.76,68.57,0.791,29.81,15.25,63.0,2,61,121,Unhealthy for Sensitive Groups,PM2.5
35.52,58.13,0.979,16.19,23.35,58.99,3,61,101,Unhealthy for Sensitive Groups,PM2.5
25.34,51.99,0.947,31.3,24.88,71.92,4,61,104,Unhealthy for Sensitive Groups,O3
41.44,66.63,1.144,39.42,18.52,88.66,5,61,158,Unhealthy,O3
50.65,91.61,1.586,57.85,30.58,89.16,6,61,159,Unhealthy,O3
39.38,67.11,1.256,47.13,21.54,86.73,7,61,153,Unhealthy,O3
46.16,84.64,1.031,52.25,22.96,83.5,8,61,145,Unhealthy for Sensitive Groups,O3
49.9,61.26,1.406,60.13,22.66,92.14,9,61,167,Unhealthy,O3
45.46,59.88,1.372,40.75,14.62,103.06,10,61,195,Unhealthy,O3
58.16,112.08,1.975,49.94,28.51,72.2,11,61,152,Unhealthy,PM2.5
52.43,106.81,1.911,76.25,18.69,94.12,12,61,172,Unhealthy,O3
56.33,90.47,1.58,50.8,22.29,79.76,13,61,151,Unhealthy,PM2.5
44.64,77.43,1.128,61.56,26.46,73.69,14,61,124,Unhealthy for Sensitive Groups,PM2.5
46.29,86.85,1.087,58.12,30.77,55.32,15,61,128,Unhealthy for Sensitive Groups,PM2.5
53.01,103.74,1.385,31.22,18.07,56.71,16,61,144,Unhealthy for Sensitive Groups,PM2.5
41.28,49.97,1.394,46.21,21.24,28.7,17,61,115,Unhealthy for Sensitive Groups,PM2.5
54.89,88.17,1.088,41.47,30.38,27.34,18,61,149,Unhealthy for Sensitive Groups,PM2.5
34.69,58.44,0.963,40.19,25.79,38.68,19,61,98,Moderate,PM2.5
36.71,74.51,0.842,26.46,26.83,32.96,20,61,104,Unhealthy for Sensitive Groups,PM2.5
39.82,101.66,0.938,20.35,18.21,29.54,21,61,112,Unhealthy for Sensitive Groups,PM2.5
19.05,31.56,0.173,24.85,21.57,10.0,22,61,66,Moderate,PM2.5
15.08,10.27,0.522,27.43,22.63,34.43,23,61,57,Moderate,PM2.5
16.59,34.68,0.652,39.85,19.21,33.26,0,62,60,Moderate,PM2.5
39.31,86.62,1.215,46.58,15.13,57.17,1,62,110,Unhealthy for Sensitive Groups,PM2.5
26.03,48.15,0.644,43.57,20.95,58.09,2,62,80,Moderate,PM2.5
52.87,84.29,1.0,40.12,30.28,61.48,3,62,144,Unhealthy for Sensitive Groups,PM2.5
30.45,66.3,1.088,23.96,23.8,101.43,4,62,191,Unhealthy,O3
39.41,78.91,1.496,32.81,30.38,91.59,5,62,165,Unhealthy,O3
53.47,83.93,1.579,42.1,24.4,96.54,6,62,178,Unhealthy,O3
60.37,113.25,1.276,36.78,19.68,111.0,7,62,206,Very Unhealthy,O3
63.79,126.79,1.237,51.77,29.89,98.02,8,62,182,Unhealthy,O3
59.52,121.32,1.255,55.69,24.57,81.27,9,62,153,Unhealthy,PM2.5
60.01,107.22,1.439,55.76,28.31,77.1,10,62,153,Unhealthy,PM2.5
57.79,99.73,1.418,61.84,18.16,90.86,11,62,164,Unhealthy,O3
59.7,122.18,1.726,42.95,28.7,54.41,12,62,500,Hazardous,O3
48.64,73.03,1.674,60.92,28.85,66.99,13,62,133,Unhealthy for Sensitive Groups,PM2.5
45.27,86.75,1.689,43.44,24.95,38.29,14,62,125,Unhealthy for Sensitive Groups,PM2.5
49.83,73.25,1.832,39.08,19.47,53.22,15,62,136,Unhealthy for Sensitive Groups,PM2.5
45.94,95.48,1.939,51.32,23.27,53.54,16,62,127,Unhealthy for Sensitive Groups,PM2.5
40.7,70.16,1.331,55.26,26.56,41.58,17,62,114,Unhealthy for Sensitive Groups,PM2.5
46.7,99.29,1.53,44.88,24.68,43.4,18,62,129,Unhealthy for Sensitive Groups,PM2.5
45.58,87.94,1.001,37.1,26.51,50.67,19,62,126,Unhealthy for Sensitive Groups,PM2.5
35.67,49.53,1.376,37.1,28.56,28.56,20,62,101,Unhealthy for Sensitive Groups,PM2.5
44.23,96.7,1.264,32.88,20.26,59.1,21,62,122,Unhealthy for Sensitive Groups,PM2.5
21.31,56.98,1.191,18.35,17.73,36.15,22,62,70,Moderate,PM2.5
27.66,60.38,0.88,15.98,23.32,48.28,23,62,84,Moderate,PM2.5
23.1,32.44,0.639,27.21,21.89,38.89,0,63,74,Moderate,PM2.5
14.32,22.11,0.434,29.21,27.47,68.43,1,63,95,Moderate,O3
29.83,55.43,0.876,29.72,18.16,70.42,2,63,500,Hazardous,O3
31.48,48.21,1.405,38.28,28.64,82.48,3,63,141,Unhealthy for Sensitive Groups,O3
47.12,105.12,0.927,31.85,30.3,75.55,4,63,130,Unhealthy for Sensitive Groups,PM2.5
43.04,79.2,1.342,42.52,23.54,68.66,5,63,120,Unhealthy for Sensitive Groups,PM2.5
32.99,26.95,1.453,38.55,23.84,90.58,6,63,163,Unhealthy,O3
59.22,110.67,1.208,61.34,19.7,72.01,7,63,153,Unhealthy,PM2.5
57.14,98.67,1.775,46.81,20.82,86.64,8,63,153,Unhealthy,O3
54.58,97.35,0.582,71.89,21.49,90.89,9,63,164,Unhealthy,O3
50.08,85.72,1.145,53.91,30.75,109.75,10,63,500,Hazardous,NO2
45.45,91.49,1.273,49.45,23.18,84.4,11,63,148,Unhealthy for Sensitive Groups,O3
50.57,104.46,1.314,43.01,16.93,76.4,12,63,138,Unhealthy for Sensitive Groups,PM2.5
61.83,114.7,1.649,37.16,24.81,67.13,13,63,154,Unhealthy,PM2.5
66.97,116.47,1.599,40.48,27.67,46.58,14,63,157,Unhealthy,PM2.5
62.27,111.59,1.573,39.69,23.41,53.09,15,63,154,Unhealthy,PM2.5
43.46,78.46,1.559,49.95,30.88,46.03,16,63,121,Unhealthy for Sensitive Groups,PM2.5
35.43,54.14,1.008,37.84,27.42,29.1,17,63,500,Hazardous,PM2.5
42.32,83.12,0.835,41.87,18.29,22.15,18,63,118,Unhealthy for Sensitive Groups,PM2.5
23.84,48.44,1.226,49.71,20.78,26.21,19,63,76,Moderate,PM2.5
37.6,86.16,0.831,33.12,24.67,30.65,20,63,106,Unhealthy for Sensitive Groups,PM2.5
31.27,71.35,0.474,52.31,15.21,26.45,21,63,91,Moderate,PM2.5
26.76,39.94,1.18,17.85,25.22,23.51,22,63,82,Moderate,PM2.5
16.5,39.54,1.271,26.9,14.73,41.68,23,63,60,Moderate,PM2.5
32.98,47.95,1.307,22.61,28.69,50.39,0,64,95,Moderate,PM2.5
25.03,53.41,0.908,37.77,28.1,53.45,1,64,78,Moderate,PM2.5
21.17,31.9,1.076,7.21,26.09,54.37,2,64,500,Hazardous,O3
9.52,10.0,1.356,17.08,20.19,73.71,3,64,110,Unhealthy for Sensitive Groups,O3
34.84,66.07,0.828,32.93,24.42,73.09,4,64,108,Unhealthy for Sensitive Groups,O3
52.22,61.9,1.44,52.41,21.0,69.32,5,64,142,Unhealthy for Sensitive Groups,PM2.5
54.53,77.15,1.283,42.26,18.41,96.34,6,64,178,Unhealthy,O3
40.79,71.29,1.567,29.59,21.87,92.51,7,64,168,Unhealthy,O3
42.61,77.69,1.436,34.03,27.06,88.81,8,64,158,Unhealthy,O3
53.74,92.31,1.843,65.22,23.79,73.27,9,64,146,Unhealthy for Sensitive Groups,PM2.5
43.97,60.2,1.579,44.18,30.82,78.53,10,64,127,Unhealthy for Sensitive Groups,O3
55.61,90.28,1.103,42.16,27.4,101.4,11,64,191,Unhealthy,O3
59.75,112.24,1.996,66.77,26.86,59.92,12,64,153,Unhealthy,PM2.5
63.01,120.4,1.263,61.7,15.52,65.25,13,64,155,Unhealthy,PM2.5
51.16,91.89,1.888,63.13,22.14,59.84,14,64,140,Unhealthy for Sensitive Groups,PM2.5
48.36,100.94,1.427,38.98,18.25,55.44,15,64,133,Unhealthy for Sensitive Groups,PM2.5
40.41,77.5,1.733,30.75,22.65,30.03,16,64,113,Unhealthy for Sensitive Groups,PM2.5
37.83,59.13,1.634,44.44,20.1,40.53,17,64,107,Unhealthy for Sensitive Groups,PM2.5
39.43,67.61,1.329,43.35,21.68,17.16,18,64,111,Unhealthy for Sensitive Groups,PM2.5
40.98,56.93,1.259,40.54,28.87,32.0,19,64,114,Unhealthy for Sensitive Groups,PM2.5
42.37,74.96,1.147,48.78,25.94,23.48,20,64,118,Unhealthy for Sensitive Groups,PM2.5
26.07,60.27,0.341,14.18,28.6,22.36,21,64,80,Moderate,PM2.5
42.47,84.67,0.924,38.2,15.56,42.37,22,64,118,Unhealthy for Sensitive Groups,PM2.5
27.12,65.65,0.517,17.44,23.86,36.43,23,64,83,Moderate,PM2.5
28.74,48.09,0.891,36.56,28.43,49.74,0,65,86,Moderate,PM2.5
23.35,58.19,0.509,23.66,31.13,57.3,1,65,75,Moderate,PM2.5
11.17,17.79,0.533,21.47,15.86,72.7,2,65,107,Unhealthy for Sensitive Groups,O3
39.61,88.96,1.427,25.42,21.84,55.68,3,65,111,Unhealthy for Sensitive Groups,PM2.5
41.0,73.53,1.341,19.54,28.77,84.19,4,65,147,Unhealthy for Sensitive Groups,O3
35.84,73.0,1.106,37.3,22.64,81.38,5,65,137,Unhealthy for Sensitive Groups,O3
41.83,93.0,1.255,32.27,19.05,82.2,6,65,140,Unhealthy for Sensitive Groups,O3
48.63,85.22,1.219,50.97,15.85,77.49,7,65,133,Unhealthy for Sensitive Groups,PM2.5
34.99,65.61,1.551,52.4,18.86,96.07,8,65,177,Unhealthy,O3
45.83,97.95,1.252,65.37,15.15,79.76,9,65,132,Unhealthy for Sensitive Groups,O3
58.38,103.49,1.81,54.06,23.89,91.16,10,65,164,Unhealthy,O3
43.23,61.96,1.472,56.8,28.08,100.49,11,65,188,Unhealthy,O3
56.04,126.58,1.434,66.0,17.29,84.8,12,65,151,Unhealthy,PM2.5
42.41,70.7,1.554,45.31,24.89,81.68,13,65,138,Unhealthy for Sensitive Groups,O3
55.76,102.27,1.334,35.51,27.82,52.81,14,65,151,Unhealthy,PM2.5
49.77,103.46,1.553,50.49,23.58,59.86,15,65,136,Unhealthy for Sensitive Groups,PM2.5
34.57,54.93,1.219,31.77,15.55,33.56,16,65,500,Hazardous,PM10
53.82,84.79,1.434,67.65,25.53,36.45,17,65,146,Unhealthy for Sensitive Groups,PM2.5
35.42,66.8,1.565,54.55,23.33,51.43,18,65,500,Hazardous,PM2.5
31.61,35.38,0.891,58.53,22.82,24.94,19,65,92,Moderate,PM2.5
36.71,62.62,0.981,34.62,20.86,41.11,20,65,104,Unhealthy for Sensitive Groups,PM2.5
41.73,78.05,1.084,37.02,24.03,41.18,21,65,116,Unhealthy for Sensitive Groups,PM2.5
22.44,37.16,0.757,25.01,26.15,44.77,22,65,73,Moderate,PM2.5
29.82,35.16,0.992,37.24,35.55,26.12,23,65,500,Hazardous,SO2
32.37,77.4,1.007,15.84,24.19,50.25,0,66,94,Moderate,PM2.5
34.91,64.08,1.177,5.0,31.18,50.67,1,66,99,Moderate,PM2.5
32.02,74.81,0.706,21.7,25.42,70.88,2,66,500,Hazardous,O3
29.64,50.23,0.663,16.96,23.13,51.21,3,66,88,Moderate,PM2.5
28.53,40.79,0.928,48.78,24.37,78.68,4,66,128,Unhealthy for Sensitive Groups,O3
38.83,73.12,0.816,55.05,17.52,83.48,5,66,145,Unhealthy for Sensitive Groups,O3
32.77,56.4,1.369,25.97,25.16,66.08,6,66,94,Moderate,PM2.5
21.19,24.01,0.945,56.02,13.67,80.12,7,66,133,Unhealthy for Sensitive Groups,O3
51.04,109.52,2.08,55.51,19.31,71.7,8,66,139,Unhealthy for Sensitive Groups,PM2.5
57.35,95.77,1.843,32.79,24.18,81.71,9,66,152,Unhealthy,PM2.5
33.19,37.66,1.516,46.49,29.6,91.47,10,66,165,Unhealthy,O3
45.25,97.39,1.808,45.79,30.78,83.17,11,66,144,Unhealthy for Sensitive Groups,O3
58.71,99.62,1.069,59.48,22.45,76.69,12,66,153,Unhealthy,PM2.5
69.79,118.33,2.305,39.3,24.41,57.37,13,66,158,Unhealthy,PM2.5
52.26,72.88,1.335,49.4,28.55,71.2,14,66,142,Unhealthy for Sensitive Groups,PM2.5
44.3,100.63,1.418,41.63,16.98,52.05,15,66,123,Unhealthy for Sensitive Groups,PM2.5
46.09,67.49,0.823,50.73,25.65,45.34,16,66,127,Unhealthy for Sensitive Groups,PM2.5
55.56,100.71,1.439,40.94,19.49,48.19,17,66,151,Unhealthy,PM2.5
36.18,76.08,0.868,34.65,22.77,24.11,18,66,103,Unhealthy for Sensitive Groups,PM2.5
31.74,62.2,1.137,34.76,21.33,33.31,19,66,92,Moderate,PM2.5
31.28,55.6,0.857,54.36,25.8,34.23,20,66,91,Moderate,PM2.5
24.95,24.49,0.622,27.35,26.38,25.57,21,66,78,Moderate,PM2.5
31.59,47.14,0.647,19.2,28.08,40.54,22,66,92,Moderate,PM2.5
42.36,78.51,0.92,34.24,25.37,43.56,23,66,118,Unhealthy for Sensitive Groups,PM2.5
31.56,47.37,0.456,26.56,24.51,43.99,0,67,92,Moderate,PM2.5
27.38,51.73,0.628,14.26,32.93,50.91,1,67,83,Moderate,PM2.5
28.31,59.14,1.087,51.92,16.03,65.24,2,67,85,Moderate,PM2.5
20.11,47.75,1.726,27.99,32.13,75.65,3,67,117,Unhealthy for Sensitive Groups,O3
42.25,61.34,1.163,30.22,22.21,75.63,4,67,118,Unhealthy for Sensitive Groups,PM2.5
37.56,93.97,0.832,38.49,26.51,92.42,5,67,168,Unhealthy,O3
39.96,81.13,1.09,57.3,22.03,92.57,6,67,168,Unhealthy,O3
